time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,1.0361212258214597e-07,-1.9601348738065027e-08,10.00568857547299,6.282815871936233,6.282976341854141,0.0,1.4214324039191756e-05,-1.695104595655967e-05,0.18960602242280483,-0.0228067450740174,-0.011562908083513176,0.0,464.300446777579,463.39262031992564,465.96888642258506,464.18296848126727
0.12000000000000001,8.33150146585123e-06,-1.4280497246761087e-05,10.021040549087564,6.281666605696612,6.282161531287047,0.0,0.0003402513759089048,-0.0005919589180013909,0.3220975244933507,-0.01270135548559662,-0.017955085573629858,0.0,446.8137657991405,446.29253730690516,447.32237798917413,448.1444261579511
0.18,5.615767842239233e-05,-8.744560187124276e-05,10.045680959253112,6.281285421864743,6.2815893243251235,0.0,0.0013430914717436958,-0.0019089755757075988,0.4991880468359814,0.004015178459976261,0.003473325689382442,0.0,460.1265418107778,461.8196613635929,460.05768929776275,461.37925833622177
0.23999999999999996,0.00017408198726992792,-0.0002465442507404082,10.08198849946687,6.28151864251744,6.281860210992189,0.0,0.0025590479794495367,-0.0033660059119106594,0.7109553713038163,0.0036294198638093904,0.00652042340542142,0.0,472.1023210287708,472.33725319602325,470.43656778239,470.4066263291979
0.3,0.0003575792520792507,-0.00048756139001051023,10.13106228096274,6.281831346716608,6.282431814661635,0.0,0.003499427872642431,-0.004635931992312298,0.9246889352439197,0.0082022664842224,0.014947600651245355,0.0,471.9772781349225,472.62701899485876,471.8268901437093,472.17965812608395
0.36000000000000004,0.0005804785885349252,-0.0007953560860930212,10.192315497582179,6.282259022477664,0.0007181742191830764,0.0,0.003787963225042635,-0.005570384566594913,1.116916962373616,0.004887626929329841,0.03890387285437,0.0,465.4786494931085,467.3494476068921,465.9567152134719,465.6974373911772
0.4200000000000001,0.000782939321783802,-0.0011484937025988652,10.2633295625117,6.282192435764543,0.002823906517800623,0.0,0.0027220889806947035,-0.006184303011482484,1.250081827075945,-0.017154051583389354,0.026118494557553378,0.0,448.7133898118078,447.6748895878148,449.8064722272396,448.0181416854566
0.48000000000000015,0.0008861865758643864,-0.001542160804732701,10.339748850551072,6.2808165232319055,0.004970639420144529,0.0,0.0005402154602860366,-0.007047648904205222,1.2971745262995515,-0.03816436182153562,0.05024532267649662,0.0,420.44493154586553,422.5304662639889,422.14789955862307,420.33106285963123
0.5400000000000001,0.0008154780521338746,-0.00201679824431944,10.41845427359505,6.278497142046943,0.008556386690286466,0.0,-0.0032033223199130654,-0.008984377524222882,1.3263035410889439,-0.03965868859619204,0.07406266195243923,0.0,413.7616197079997,415.8556243857139,416.2973977421304,416.1657868694834
0.6000000000000002,0.0004427645465570193,-0.0026544594314088918,10.499622218957416,6.275662034208896,0.012638256006765047,0.0,-0.009628882730059818,-0.012511032170722825,1.3792265850748024,-0.07020791189406271,0.05187211522210871,0.0,423.4336911643077,421.5241803375645,425.8051318452892,423.1821180886058
0.6600000000000003,-0.00039084389281163944,-0.003565914490153493,10.584083626857492,6.271461533563247,0.015647721859827435,0.0,-0.018450030293572287,-0.01827237133379207,1.4360759942925683,-0.06961237644825025,0.04648884736987373,0.0,424.88105706980997,424.42102976346547,425.1867710262596,425.2338046806148
0.7200000000000003,-0.0018205801683933713,-0.004911735903568275,10.67254798821896,6.267200111096898,0.018531778680614508,0.0,-0.029485927887473756,-0.02700257977250341,1.5126272067318398,-0.07400561734690629,0.051050698845015785,0.0,431.1593805589662,431.54606755872373,431.84125550482446,431.4665055498713
0.7800000000000004,-0.003981640741891164,-0.006875648660356714,10.766164862673815,6.263557692047737,0.021512958456552767,0.0,-0.04285322936439905,-0.038859789596420134,1.6077925232093295,-0.04242882475068296,0.04680862462420949,0.0,437.6053796078405,437.2537383712697,436.6640067565222,439.2869688705735
0.8400000000000004,-0.006947448476991048,-0.009567100634837554,10.86287781213424,6.26105136853602,0.024321744582989524,0.0,-0.0562551481451332,-0.05107823324094776,1.6159499174505705,-0.04049021336426365,0.04682205263119701,0.0,410.04580071286244,410.04850330197,408.7604617139705,408.9320682927879
0.9000000000000005,-0.01094546428108896,-0.013197778624083263,10.967234436042439,6.2586342852682115,0.027049011106655918,0.0,-0.07734546600824475,-0.07023547275228616,1.8622194096073592,-0.03987697749917065,0.04256937974704768,0.0,484.11138562885736,483.79233270951465,483.41561951653546,483.4611281738424
0.9600000000000005,-0.01618487554180983,-0.017954383875615473,11.083030994195408,6.256693013385522,0.030013562552695383,0.0,-0.09759414936788502,-0.08854116001741669,1.9974233333001479,-0.020455550368041593,0.06042724796358176,0.0,451.11880261154147,452.5598204185459,450.25539922082646,451.8233532615523
1.0200000000000005,-0.02276931352322919,-0.023901008424034142,11.20895380685132,6.255683388129146,0.033543436059349396,0.0,-0.12229529763590724,-0.1097996456582531,2.199617790657172,-0.010411265673070078,0.055432725510764946,0.0,472.03459601919377,471.65123067760635,472.0852947459878,472.85973425897294
1.0800000000000005,-0.030894808899223223,-0.03112399038255686,11.346286030196591,6.2556439066014615,0.037524368283333054,0.0,-0.14896432540839255,-0.13098863039058128,2.377750811009049,0.013917123273312147,0.08220131495777694,0.0,464.34458826302,466.4425799053728,465.27553184786586,467.1762746367182
1.1400000000000006,-0.040587963992782444,-0.03952114937199543,11.490923980389178,6.2566103789907785,0.042322837708939076,0.0,-0.17460768412114672,-0.1488252125837228,2.44335633527995,0.0201639653507812,0.07510401722877288,0.0,431.66890359400935,431.07493055556796,431.6637366857048,432.19047146293775
